flight_id,airline,source,destination,route,departure_time,arrival_time,flight_date,duration_minutes,duration_hours,overnight_flag,duration_anomaly_flag
SJ010,SpiceJet,CCU,MAA,CCU-MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,2026-04-20,174.0,2.9,True,False
AI155,Air India,BOM,CCU,BOM-CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,2026-04-20,108.0,1.8,True,False
UK094,Vistara,BOM,CCU,BOM-CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,2026-04-20,105.0,1.75,True,False
AI245,Air India,BOM,CCU,BOM-CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,2026-04-20,156.0,2.6,True,False
AI192,Air India,MAA,BOM,MAA-BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,2026-04-20,299.0,4.98,True,False
SJ158,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,2026-04-20,139.0,2.32,True,False
6F196,IndiGo,CCU,MAA,CCU-MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,2026-04-20,103.0,1.72,True,False
AI080,Air India,BOM,HYD,BOM-HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,2026-04-20,92.0,1.53,True,False
6F025,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,2026-04-20,55.0,0.92,False,False
6F251,Unknown,DEL,BLR,DEL-BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,2026-04-20,41.0,0.68,False,False
AI137,Air India,BOM,DEL,BOM-DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,2026-04-20,148.0,2.47,True,False
6F026,IndiGo,BOM,CCU,BOM-CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,2026-04-20,267.0,4.45,True,False
UK167,Vistara,DEL,MAA,DEL-MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,2026-04-20,181.0,3.02,True,False
UK027,Vistara,BOM,CCU,BOM-CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,2026-04-20,141.0,2.35,True,False
AI069,Unknown,DEL,BOM,DEL-BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,2026-04-20,226.0,3.77,True,False
AI058,Air India,BOM,CCU,BOM-CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,2026-04-20,98.0,1.63,True,False
AI140,Air India,BOM,DEL,BOM-DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,2026-04-20,223.0,3.72,True,False
SJ239,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,2026-04-20,106.0,1.77,True,False
6F099,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,2026-04-20,35.0,0.58,False,False
AI048,Air India,CCU,DEL,CCU-DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,2026-04-20,232.0,3.87,True,False
SJ112,SpiceJet,HYD,DEL,HYD-DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,2026-04-20,140.0,2.33,True,False
6F164,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,2026-04-20,147.0,2.45,True,False
UK021,Vistara,HYD,MAA,HYD-MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,2026-04-20,110.0,1.83,False,False
SJ172,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,2026-04-20,196.0,3.27,True,False
AI060,Air India,DEL,HYD,DEL-HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,2026-04-20,113.0,1.88,False,False
SJ205,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,2026-04-20,64.0,1.07,False,False
SJ093,SpiceJet,BLR,BOM,BLR-BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,2026-04-20,66.0,1.1,False,False
6F195,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,2026-04-20,55.0,0.92,False,False
UK003,Unknown,HYD,DEL,HYD-DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,2026-04-20,278.0,4.63,True,False
UK026,Vistara,HYD,MAA,HYD-MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,2026-04-20,126.0,2.1,False,False
6F174,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,2026-04-20,40.0,0.67,False,False
UK067,Vistara,BOM,CCU,BOM-CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,2026-04-20,206.0,3.43,True,False
SJ149,SpiceJet,HYD,MAA,HYD-MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,2026-04-20,120.00496666666666,2.0,False,False
6F213,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,2026-04-20,207.0,3.45,True,False
UK200,Vistara,CCU,DEL,CCU-DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,2026-04-20,111.0,1.85,False,False
SJ214,SpiceJet,BOM,MAA,BOM-MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,2026-04-20,76.0,1.27,False,False
SJ047,SpiceJet,HYD,BOM,HYD-BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,2026-04-20,37.0,0.62,False,False
AI179,Air India,HYD,BOM,HYD-BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,2026-04-20,278.0,4.63,True,False
SJ153,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,2026-04-20,83.0,1.38,False,False
6F236,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,2026-04-20,199.0,3.32,False,False
UK059,Vistara,HYD,MAA,HYD-MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,2026-04-20,97.0,1.62,False,False
SJ001,SpiceJet,BOM,MAA,BOM-MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,2026-04-20,287.0,4.78,True,False
SJ049,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,2026-04-20,240.0,4.0,True,False
6F086,IndiGo,MAA,HYD,MAA-HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,2026-04-20,37.0,0.62,False,False
AI220,Air India,BOM,DEL,BOM-DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,2026-04-20,98.0,1.63,False,False
AI188,Air India,CCU,HYD,CCU-HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,2026-04-20,166.0,2.77,False,False
6F114,IndiGo,BOM,MAA,BOM-MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,2026-04-20,50.0,0.83,False,False
SJ179,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,2026-04-20,210.0,3.5,False,False
6F190,IndiGo,DEL,MAA,DEL-MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,2026-04-20,274.0,4.57,True,False
SJ003,SpiceJet,MAA,CCU,MAA-CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,2026-04-20,42.0,0.7,False,False
6F028,IndiGo,HYD,CCU,HYD-CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,2026-04-20,120.0,2.0,False,False
UK036,Vistara,CCU,BLR,CCU-BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,2026-04-20,264.0,4.4,True,False
SJ160,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,2026-04-20,45.0,0.75,False,False
6F151,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,2026-04-20,140.0,2.33,False,False
UK140,Vistara,MAA,BLR,MAA-BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,2026-04-20,83.0,1.38,False,False
AI115,Air India,MAA,BLR,MAA-BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,2026-04-20,289.0,4.82,True,False
AI132,Air India,BLR,BOM,BLR-BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,2026-04-20,129.0,2.15,False,False
UK209,Unknown,MAA,BLR,MAA-BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,2026-04-20,165.0,2.75,False,False
SJ043,Unknown,MAA,DEL,MAA-DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,2026-04-20,129.0,2.15,False,False
UK176,Vistara,HYD,BLR,HYD-BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,2026-04-20,248.0,4.13,False,False
UK216,Vistara,MAA,HYD,MAA-HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,2026-04-20,194.0,3.23,False,False
UK150,Vistara,DEL,CCU,DEL-CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,2026-04-20,30.0,0.5,False,False
UK145,Vistara,BOM,HYD,BOM-HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,2026-04-20,131.0,2.18,False,False
6F270,Unknown,HYD,MAA,HYD-MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,2026-04-20,48.0,0.8,False,False
6F012,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,2026-04-20,205.0,3.42,False,False
SJ236,SpiceJet,MAA,BOM,MAA-BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,2026-04-20,239.0,3.98,False,False
6F149,IndiGo,BLR,CCU,BLR-CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,2026-04-20,165.0,2.75,False,False
UK004,Vistara,BOM,CCU,BOM-CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,2026-04-20,34.0,0.57,False,False
UK010,Vistara,MAA,HYD,MAA-HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,2026-04-20,167.0,2.78,False,False
UK215,Vistara,BOM,DEL,BOM-DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,2026-04-20,132.0,2.2,False,False
SJ116,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,2026-04-20,89.0,1.48,False,False
SJ023,SpiceJet,HYD,MAA,HYD-MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,2026-04-20,102.0,1.7,False,False
UK152,Vistara,BOM,CCU,BOM-CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,2026-04-20,169.0,2.82,False,False
SJ202,SpiceJet,CCU,HYD,CCU-HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,2026-04-20,107.0,1.78,False,False
6F043,IndiGo,BOM,HYD,BOM-HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,2026-04-20,86.0,1.43,False,False
UK173,Vistara,MAA,BLR,MAA-BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,2026-04-20,256.0,4.27,False,False
SJ081,SpiceJet,BOM,BLR,BOM-BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,2026-04-20,109.0,1.82,False,False
UK153,Vistara,CCU,HYD,CCU-HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,2026-04-20,241.0,4.02,False,False
UK187,Vistara,BLR,BOM,BLR-BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,2026-04-20,110.0,1.83,False,False
UK055,Vistara,HYD,DEL,HYD-DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,2026-04-20,163.0,2.72,False,False
UK181,Vistara,MAA,DEL,MAA-DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,2026-04-20,162.0,2.7,False,False
UK074,Vistara,BOM,DEL,BOM-DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,2026-04-20,117.0,1.95,False,False
SJ068,SpiceJet,BLR,BOM,BLR-BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,2026-04-20,124.0,2.07,False,False
AI242,Unknown,BLR,CCU,BLR-CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,2026-04-20,62.0,1.03,False,False
SJ237,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,2026-04-20,148.0,2.47,False,False
